Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
AMSR-2,Advanced Microwave Scanning Radiometer -2,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JAXA,Operational,Imaging multi-spectral radiometers (passive microwave),Multi-purpose imaging MW radiometer,"Measurements of water vapour, cloud liquid water, precipitation, winds, sea surface temperature, sea ice concentration, snow cover, soil moisture.","Microwave: 6.925 GHz, 7.3 GHz, 10.65 GHz, 18.7 GHz, 23.8 GHz, 36.5 GHz, 89.0 GHz",MW,5 - 50 km (dependent on frequency),,1450 km,"Sea surface temperature: 0.5 K, Sea ice cover: 10%, Cloud liquid water: 0.05 kg/m2, Precipitation rate: 10%, Water vapour: 3.5 kg/m2 through total column, Sea surface wind speed 1.5 m/s",Open Access,HDF5
AMSR-E,Advanced Microwave Scanning Radiometer-EOS,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AMSR2,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AMSU-A,Advanced Microwave Sounding Unit-A,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (UKSA),Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,All-weather night-day temperature sounding to an altitude of 45 km.,"Microwave: 15 channels, 23.8 - 89.0 GHz",MW,48 km,,2054 km,"Temperature profile: 2 K, humidity: 3 kg/m2, ice & snow cover: 10%",,
AMSU-A,Advanced Microwave Sounding Unit-A,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,All-weather night-day temperature sounding to an altitude of 45 km.,"Microwave: 15 channels, 23.8 - 89.0 GHz",MW,48 km,,2054 km,"Temperature profile: 2 K, humidity: 3 kg/m2, ice & snow cover: 10%",Open Access,HDF-EOS
AMSU-A,Advanced Microwave Sounding Unit-A,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
AMSU-B,Advanced Microwave Sounding Unit-B,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (UKSA),Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,All-weather night-day humidity sounding.,"Microwave: 89 GHz, 150 GHz, 183.3± 1.0 GHz (2 bands), 183.3± 3.0 GHz (2 bands), 183.3± 7.0 GHz (2 bands)",MW,16 km,,2200 km,"Humidity profile: 1 kg/m2,",,
AMSU-B,Advanced Microwave Sounding Unit-B,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
ANEMOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Current/Wind Meters,,,,,,,,,,,,,,,
ANEROID PRESSURE SENSOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
AOCI,Airborne Ocean Color Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AOLFL,Airborne Oceanographic Lidar Fluorosensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
AP,AURORAL PHOTOMETER (SNOE),GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
APMS,Ames Particle Measurement System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
APS,Aerodynamic Particle Sizer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
APS,Air Pressure Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
APS GLORY,AEROSOL Polarimetry SENSOR,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
APT NIMBUS-1,Automatic Picture Transmission System on NIMBUS-1,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
APT NIMBUS-2,Automatic Picture Transmission System on NIMBUS-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
APU,Autonomous Parsivel Unit (APU),GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
Aquarius L-Band radiometer,Aquarius L-Band Radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA (CONAE),Operational,Imaging multi-spectral radiometers (passive microwave),Multi-purpose imaging MW radiometer,L-band passive microwave radiometer measures brightness temperature of ocean to retrieve salinity.,L-band (1.4 GHz),"MW, L-Band",100 km,,300 km,0.2 psu,Open Access,HDF-5
Aquarius L-Band Scatterometer,Aquarius L-Band Scatterometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA (CONAE),Operational,Scatterometers,Radar scatterometer,L-band scatterometer to provide roughness correction to brightness temperature.,L-Band (1.2 GHz),"MW, L-Band",100 km,,300 km,0.2 psu,Open Access,HDF-5
AQUARIUS_RADIOMETER,Aquarius Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
AQUARIUS_SCATTEROMETER,Aquarius Scatterometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Scatterometers,,,,,,,,,,,,,,
ARGOS,ARGOS,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES (NASA),Operational,Data collection,Data collection system,Location data by Doppler measurements.,,MW,,,,,Open Access,
ARGOS,ARGOS Data Collection and Position Location System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Radio,,,,,,,,,,,,,
ARGUS,Two-Channel Atmospheric Tracer Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
Arina,Arina,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSKOSMOS,Operational,Space environment,Space environment monitor,Insights into electromagnetic field variations as the precursors of earthquakes.,,N/A,,,,,Constrained Access,
Arkon-2M SAR,Arkon-2M SAR,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSKOSMOS,Proposed,Imaging microwave radars,Imaging radar (SAR),"X, L, and R-band SAR instrument.","X-band – 3 cm, L-band – 23 cm, R-band – 69 cm","MW, X-Band, L-Band","X-band 1 - 1.5m, L-band 3 - 5 m, R-band 30 m",1,"X-band 2 - 10 km, L-band 20 - 100 km, R-band 100 - 450 km",Radiometric resolution 1.2 - 3.5 dB,,
ARMAR,Airborne Rain Mapping Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
ARP,Acoustic Recording Package,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
ASAR,Advanced Synthetic Aperature Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
ASAS,Advanced Solid-state Array Spectroradiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectroradiometers,,,,,,,,,,,,,
ASC,All-Sky Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
ASCAT,Advanced Scatterometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Operational,Scatterometers,Radar scatterometer,"Sea ice cover, sea ice type and wind speed over sea surface measurements. Air pressure over ocean, polar ice contours, ice/snow imagery, soil moisture.","Microwave: C Band, 5.256 GHz","MW, C-Band","Hi-res mode: 25 - 37 km, Nominal mode: 50 km",,Continuous; 2 x 500 km swath width,Wind speeds in range 4 - 24 m/s: 2 m/s and direction accuracy of 20 deg,Open Access,Native and BUFR
ASCAT,Advanced Scatterometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Scatterometers,,,,,,,,,,,,,,
ASI,Atmospheric Sounding Interferometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"CAST (NSMC-CMA, CNSA)",Prototype,Atmospheric temperature and humidity sounders,,Atmospheric sounding for weather forecasting.,,,,,,,Constrained Access,
ASM,Absolute Scalar Magnetometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Being developed,Magnetic field,Magnetometer,Absolute calibration of Vector Field Magnetometer on board Swarm satellites.,N/A,,0.1 nT,,N/A,0.1 nT,Open Access,
ASPECT,AIRBORNE SPECTRAL IMAGERY OF ENVIRONMENTAL CONTAMINANTS TECHNOLOGY,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
ASPOC,Active Spacecraft Potential Control Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
ASTER,Advanced Spaceborne Thermal Emission and Reflection Radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,METI (NASA),Operational,High resolution optical imagers,High resolution optical imager,"Surface and cloud imaging with high spatial resolution, stereoscopic observation of local topography, cloud heights, volcanic plumes, and generation of local surface digital elevation maps. Surface temperature and emissivity.","VIS and NIR: 3 bands in 0.52 - 0.86 µm, SWIR: 6 bands in 1.6 - 2.43 µm, TIR: 5 bands in 8.125 - 11.65 µm","VIS, NIR, SWIR, TIR","VNIR: 15 m, stereo: 15 m horizontally and 25 m vertical, SWIR: 30 m, TIR: 90 m",15,60 km,"VNIR and SWIR: 4% (absolute), TIR: 4 K, Geolocation: 7 m",Open Access,HDF-EOS or GeoTiff
ASTER,Advanced Spaceborne Thermal Emission and Reflection Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
ASUR,Airborne SUbmillimeter Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
ATCOR,Atmospheric correction,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,High resolution optical imagers,High resolution optical imager,Atmospheric correction.,VNIR Hyperspectral,"VIS, NIR",40 m,40,734 km,,Constrained Access,
ATHOS,Airborne Tropospheric Hydroxides Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
ATLAS,Advanced Topographic Laser Altimeter System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Being developed,Lidars,Lidar altimeter,"Provide date on ice sheet height and sea ice thickness, land altitude, aerosol height distributions, cloud height and boundary layer height.",VIS-NIR: Laser emits at 1064 nm (for altimetry) and 532 nm (for atmospheric measurements),VIS,66 m spots separated by 170 m,66,,"Aerosol profile: 20%, Ice elevation: 20 cm, Cloud top height: 75 m, Land elevation: 20 cm, geoid: 5 m",Open Access,
ATLAS,Airborne Tunable Laser Absorption Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
ATLID,ATmospheric LIDar,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA,Approved,Lidars,Atmospheric lidar,"Derivation of cloud and aerosol properties - Measurement of molecular and particle backscatter in Rayleigh, co-polar and cross-polar Mie channels.",Laser at 355 nm,UV,300 m horizontal (TBC),,,,Open Access,HDF5
ATM,Airborne Topographic Mapper,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Lidar/Laser Altimeters,,,,,,,,,,,,,
ATMOS,Atmospheric Trace Molecule Spectroscopy,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
ATMS,Advanced Technology Microwave Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA (NOAA),Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,Collects microwave radiance data that when combined with the CrIS data will permit calculation of atmospheric temperature and water vapour profiles.,"Microwave: 22 bands, 23-184 GHz",MW,5.2 - 1.1 deg,,2300 km,0.75 K - 3.60 K,Open Access,HDF-5
ATMS,Advanced Technology Microwave Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
ATOVS,ADVANCED TIROS-N OPERATIONAL VERTICAL SOUNDER (ATOVS),GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
ATOVS (HIRS/3 + AMSU + AVHRR/3),Advanced TIROS Operational Vertical Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Atmospheric temperature and humidity sounders,,Advanced TIROS Operational Vertical Sounder instrument suite.,,NIR,,,,,,
ATSR,Along Track Scanning Radiometer and Microwave Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
ATSR-2,Along-Track Scanning Radiometer 2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AUTOANALYZER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
AVAPS,Airborne Vertical Atmosphere Profiling Systems,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
AVCS NIMBUS-1,Advanced Vidicon Camera System on NIMBUS-1,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
AVCS NIMBUS-2,Advanced Vidicon Camera System on NIMBUS-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
AVHRR,Advanced Very High Resolution Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AVHRR-2,Advanced Very High Resolution Radiometer-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AVHRR-3,Advanced Very High Resolution Radiometer-3,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AVHRR/3,Advanced Very High Resolution Radiometer/3,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Measurements of land and sea surface temperature, cloud cover, snow and ice cover, soil moisture and vegetation indices. Data also used for volcanic eruption monitoring.","VIS: 0.58 - 0.68 µm, NIR: 0.725 - 1.1 µm, SWIR: 1.58 - 1.64 µm, MWIR: 3.55 - 3.93 µm, TIR: 10.3 - 11.3 µm, 11.5 - 12.5 µm","VIS, NIR, SWIR, MWIR, TIR, FIR",1.1 km,1100,"3000 km approx, Ensures full global coverage twice daily",,,
AVIRIS,Airborne Visible and Infrared Imaging Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AVNIR,Advanced Visible and Near-Infrared Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AVNIR-2,Advanced Visible and Near-Infrared Radiometer Type 2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AWFI,Advanced Wide Field Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,INPE,Approved,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Used for fire extent detection measurement, coastal and vegetation monitoring, land cover and land use mapping.","VIS: 0.45 - 0.50 µm, 0.52 - 0.57 µm, 0.63 - 0.69 µm, NIR: 0.76 - 0.90 µm","VIS, NIR, MWIR, TIR",VIS - NIR: 40 m,40,740 km,,Open Access,GEOTIFF
AWiFS,Advanced Wide Field Sensor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Vegetation and crop monitoring, resource assessment (regional scale), forest mapping, land cover/ land use mapping, and change detection.","VIS: 0.52 - 0.59 µm and 0.62 - 0.68 µm, NIR: 0.77 - 0.86 µm, SWIR: 1.55 - 1.7 µm","VIS, NIR, SWIR",55 m,55,740 km,10 bit data,Open Access,
AWIFS,Advanced Wide Field Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
AWIN,Automatic Weigh and Identification Nest-System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
AWQT,Apparatus for Water Quality Test,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
AWS,Automated Weather System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
BACKSCATTER LIDAR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
BALANCE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
BAROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
BATHYPHOTOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
BATHYTHERMOGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
BATSE,Burst And Transient Source Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
BBHSR,Broad Spectral Bandpass Hemispherical Solar Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
BBR (EarthCARE),BroadBand Radiometer (EarthCARE),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA,Approved,Earth radiation budget radiometers,Broad-band radiometer,Top of the atmosphere radiances and radiative flux.,"Shortwave channel: 0.2 - 4 µm, Total channel 0.2 - 50 µm","UV, VIS, NIR, SWIR, MWIR, TIR, FIR",10 x 10 km ground pixel size for each of the three views,,,flux retrieval accuracy 10 Wm-2,Open Access,HDF5
BBSS,Balloon-Borne Sounding System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
BCS,Bragg Crystal Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
BEDLOAD SENSORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,,,,,,,,,,,,,,,
BENTHIC GRABS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
BENTHOPELAGIC NET,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
BENTHOPELAGIC TRAWL,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
BGO,Bismuth Germanate Scintillator,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
BIMS,Bennett Ion-Mass Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
BINOCULAR,BINOCULAR,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
BIOMETER,BIOMETER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
BIONESS,Bedford Institute of Oceanography Net Environmental Sampling System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
BJ-1 MSI,BJ-1 Multispectral Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
BJ-1 PAN,BJ-1 Panchromatic Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
BLACKJACK,Global Positioning System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
BLIP,Boundary Layer Instrument Package,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
BOLOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
BONGO NETS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
BOPS,Bio Optical Profiling System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
BOTTOM PRESSURE GAUGES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
BOTTOM TRAWL,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
BOX CORE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Corers,,,,,,,,,,,,,,,
BR,Benndorf Recorder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
BROADBEAM RIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Radio Wave Detectors,,,,,,,,,,,,,,,
BRTS,Background Radiometric Temperature Sensors,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
BSR,Broadband Solar Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
BUV,Backscatter Ultraviolet,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
C-Band SAR,C-Band Synthetic Aperture Radar,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA,Being developed,Imaging microwave radars,Imaging radar (SAR),"Marine core services, land monitoring and emergency services. Monitoring sea ice zones and arctic environment. Surveillance of marine environment, monitoring land surface motion risks, mapping of land surfaces (forest, water and soil, agriculture), mapping in support of humanitarian aid in crisis situations.","C-band: 5.405 GHz; HH, VV, HH+HV, VV+VH; Incidence angle: 20-45","MW, C-Band","Strip mode: 9 m, Interferometric wide swath mode: 20 m, extra-wide swath mode: 50 m, wave mode: 50 m",9,"Strip mode: 80 km; Interferometric wide swath mode: 250 km, extra-wide swath mode: 400 km, Wave mode: sampled images of 20 x 20 km at 100 km intervals",NESZ: -22 dB; PTAR: -25 dB; DTAR: -22 dB; Radiometric accuracy 1 dB (3 sigma); Radiometric stability: 0.5 dB (3 sigma),Open Access,
