Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
AIRS,Atmospheric Infra-red Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Atmospheric temperature and humidity sounders,Medium-resolution IR spectrometer,High spectral resolution measurement of temperature and humidity profiles in the atmosphere. Long-wave Earth surface emissivity. Cloud diagnostics. Trace gas profiles. Surface temperatures.,"VIS - TIR: 0.4 - 1.7 µm, 3.4 - 15.4 µm, Has approximately 2382 bands from VIS to TIR","VIS, NIR, MWIR, TIR",1.1 degree (13 x 13 km at nadir),,+/-48.95 degrees,"Humidity: 20%, Temperature: 1 K",Open Access,HDF-EOS
AIRS,Atmospheric Infrared Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
AIRSAR,Airborne Synthetic Aperture Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
AIS,Arizona Imager Spectrograph,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AIS (RCM),Automated Identification System (RADARSAT Constellation),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CSA,Being developed,Data collection,Data collection system,"Ship identification (name, location, heading, cargo, etc).",VHF (162 MHz),,N/A,,800 km minimum,"Better than 90% ship detection, for Class A ships, when ships are in view for a minimum of 5 minutes.",Constrained Access,
ALADIN,Atmospheric Laser Doppler Instrument,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA,Being developed,Lidars,Doppler lidar,Global wind profiles (single line-of-sight) for an improved weather prediction.,UV: 355 nm,UV,"One wind profile every 200 km along track, averaged over 50 km",,Along line 285 km parallel to satellite ground track,Wind speed error below 2 m/s,Open Access,
ALAE,Atmospheric Lyman-Alpha Emissions,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
ALI,Advanced Land Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,High resolution optical imagers,High resolution optical imager,Measurement of Earth surface reflectance. Will validate new technologies contributing to cost reduction and increased capabilities for future missions. ALI comprises a wide field telescope and multispectral and panchromatic instrument.,"10 bands: VIS and NIR: 0.480 - 0.690 µm, 0.433 - 0.453 µm, 0.450 - 0.515 µm, 0.525 - 0.605 µm, 0.630 - 0.690 µm, 0.775 - 0.805 µm, 0.845 - 0.890 µm, 1.200 - 1.300 µm, SWIR: 1.550 - 1.750 µm, 2.080 - 2.350 µm","VIS, NIR, SWIR","PAN: 10 m, VNIR and SWIR: 30 m",10,185 km,"SNR @ 5% surf refl Pan:220, Multi 1: 215, Multi 2: 280, Multi 3: 290, Multi 4:240, Multi 4':190, Multi 5':130, Multi 5:175, Multi 7:170 (prototype instrument exceeds ETM+ SNR by a factor of 4 - 8)",Open Access,HDF or GeoTIFF
ALI,Advanced Land Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
ALIAS,Airborne Laser Infrared Absorption Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
ALISS III,Advanced LISS III,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),High resolution optical imager,"For crops and vegetation dynamics, natural resources census, disaster management and large scale mapping of themes.",3 bands in VNIR and 1 band in SWIR,"VIS, NIR, SWIR","23.5 m, 10 m",10,700 km,,Open Access,
ALPHA-SPECTROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
ALPS,Airborne Laser Polarization Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
ALT,Radar Altimeter,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NSOAS (CAST),Operational,Radar altimeters,Radar altimeter,"Global ocean topography, sea level and gravity field measurements.",13.58 GHz and 5.25 GHz,MW,16 km,,16 km,< 4 cm,,
ALT (SEASAT 1),SEASAT 1 Radar Altimeter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
ALT (TOPEX),TOPEX Radar Altimeter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
